"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 10 14:18:06 UTC 2025","Mon Mar 10 14:18:07 UTC 2025","1166","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","testPositiveLogin","testPositiveLogin",""
"passed","Mon Mar 10 14:18:01 UTC 2025","Mon Mar 10 14:18:04 UTC 2025","2915","Surefire suite","Surefire test","tests.CheckoutTest","tests.CheckoutTest","createOrderWithoutCredentials","createOrderWithoutCredentials",""
"passed","Mon Mar 10 14:18:04 UTC 2025","Mon Mar 10 14:18:06 UTC 2025","1230","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","testNegativeLogin","testNegativeLogin",""
"passed","Mon Mar 10 14:17:56 UTC 2025","Mon Mar 10 14:18:01 UTC 2025","4837","Surefire suite","Surefire test","tests.CheckoutTest","tests.CheckoutTest","createOrder","createOrder",""
